name,link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type,VDF_alpha,VDF_beta,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,VDF_fftt,VDF_toll_auto,geometry
,1,1,2,1,6,1,25900.20064,60,1,0.15,4,5083.214,4970.7078,4970.7078,,,,"LINESTRING (-96.770451 43.612565, -96.711282 43.605550)"
,2,1,3,1,4,1,23403.47319,60,1,0.15,4,8782.614,8376.4408,8376.4408,,,,"LINESTRING (-96.770683 43.612854, -96.774567 43.572987)"
,3,2,1,1,6,1,25900.20064,60,1,0.15,4,5182.613,4799.409,4799.409,,,,"LINESTRING (-96.711219 43.606076, -96.770389 43.613091)"
,4,2,6,1,5,1,4958.180928,60,1,0.15,4,5483.214,6063.988,6063.988,,,,"LINESTRING (-96.711515 43.605819, -96.711909 43.587591)"
,5,3,1,1,4,1,23403.47319,60,1,0.15,4,8683.215,8547.7397,8547.7397,,,,"LINESTRING (-96.774040 43.572936, -96.770156 43.612802)"
,6,3,4,1,4,1,17110.52372,60,1,0.15,4,14796.577,14889.9751,14889.9751,,,,"LINESTRING (-96.774389 43.572711, -96.747254 43.563403)"
,7,3,12,1,4,1,23403.47319,60,1,0.15,4,10373.788,10961.2576,10961.2576,,,,"LINESTRING (-96.774563 43.573014, -96.780396 43.543993)"
,8,4,3,1,4,1,17110.52372,60,1,0.15,4,14791.177,14862.6901,14862.6901,,,,"LINESTRING (-96.747083 43.563904, -96.774217 43.573212)"
,9,4,5,1,2,1,17782.7941,60,1,0.15,4,18945.744,18709.4413,18709.4413,,,,"LINESTRING (-96.747162 43.563389, -96.731563 43.563769)"
,10,4,11,1,6,1,4908.82673,60,1,0.15,4,5240.831,5853.5282,5853.5282,,,,"LINESTRING (-96.747433 43.563649, -96.747105 43.544126)"
,11,5,4,1,2,1,17782.7941,60,1,0.15,4,18832.006,18625.5001,18625.5001,,,,"LINESTRING (-96.731576 43.564298, -96.747175 43.563918)"
,12,5,6,1,4,1,4947.995469,60,1,0.15,4,8554.285,8326.6314,8326.6314,,,,"LINESTRING (-96.731367 43.563863, -96.711442 43.587414)"
,13,5,9,1,5,1,10000,60,1,0.15,4,15714.926,16484.9424,16484.9424,,,,"LINESTRING (-96.731834 43.564028, -96.731506 43.548591)"
,14,6,2,1,5,1,4958.180928,60,1,0.15,4,5582.613,5892.6891,5892.6891,,,,"LINESTRING (-96.711379 43.587580, -96.710986 43.605807)"
,15,6,5,1,4,1,4947.995469,60,1,0.15,4,8519.162,8732.4009,8732.4009,,,,"LINESTRING (-96.711846 43.587757, -96.731771 43.564205)"
,16,6,8,1,2,1,4898.587646,60,1,0.15,4,12837.499,12392.0906,12392.0906,,,,"LINESTRING (-96.711909 43.587583, -96.711647 43.562321)"
,17,7,8,1,3,1,7841.81131,60,1,0.15,4,12616.312,12896.6466,12896.6466,,,,"LINESTRING (-96.693445 43.564107, -96.711404 43.562588)"
,18,7,18,1,2,1,23403.47319,60,1,0.15,4,15620.555,15500.6867,15500.6867,,,,"LINESTRING (-96.693687 43.563854, -96.694343 43.546754)"
,19,8,6,1,2,1,4898.587646,60,1,0.15,4,12901.775,12626.5612,12626.5612,,,,"LINESTRING (-96.711117 43.562327, -96.711379 43.587588)"
,20,8,7,1,3,1,7841.81131,60,1,0.15,4,12528.57,12331.8241,12331.8241,,,,"LINESTRING (-96.711359 43.562060, -96.693400 43.563580)"
,21,8,9,1,10,1,5050.193156,60,1,0.15,4,7211.184,6850.7546,6850.7546,,,,"LINESTRING (-96.711532 43.562542, -96.731392 43.548814)"
,22,8,16,1,5,1,5045.822583,60,1,0.15,4,8565.569,8361.8512,8361.8512,,,,"LINESTRING (-96.711647 43.562324, -96.711647 43.546744)"
,23,9,5,1,5,1,10000,60,1,0.15,4,15636.311,15995.2317,15995.2317,,,,"LINESTRING (-96.730977 43.548602, -96.731304 43.564039)"
,24,9,8,1,10,1,5050.193156,60,1,0.15,4,7156.641,7121.1083,7121.1083,,,,"LINESTRING (-96.731091 43.548379, -96.711231 43.562106)"
,25,9,10,1,3,1,13915.78842,60,1,0.15,4,21936.92,22291.6946,22291.6946,,,,"LINESTRING (-96.731506 43.548612, -96.731702 43.545287)"
,26,10,9,1,3,1,13915.78842,60,1,0.15,4,21903.76,22172.3376,22172.3376,,,,"LINESTRING (-96.731174 43.545255, -96.730977 43.548581)"
,27,10,11,1,5,1,10000,60,1,0.15,4,17616.918,17507.4912,17507.4912,,,,"LINESTRING (-96.731458 43.545535, -96.746860 43.544395)"
,28,10,15,1,6,1,13512.00155,60,1,0.15,4,22471.785,23194.335,23194.335,,,,"LINESTRING (-96.731703 43.545272, -96.731768 43.529402)"
,29,10,16,1,4,1,4854.917717,60,1,0.15,4,11370.813,11212.8804,11212.8804,,,,"LINESTRING (-96.731419 43.545007, -96.711362 43.546480)"
,30,10,17,1,8,1,4993.510694,60,1,0.15,4,8099.999,8450.7295,8450.7295,,,,"LINESTRING (-96.731490 43.545011, -96.711433 43.541020)"
,31,11,4,1,6,1,4908.82673,60,1,0.15,4,5449.17,6010.1844,6010.1844,,,,"LINESTRING (-96.746576 43.544135, -96.746904 43.563658)"
,32,11,10,1,5,1,10000,60,1,0.15,4,17464.998,17593.1748,17593.1748,,,,"LINESTRING (-96.746821 43.543867, -96.731418 43.545007)"
,33,11,12,1,6,1,4908.82673,60,1,0.15,4,8377.522,8545.6766,8545.6766,,,,"LINESTRING (-96.746842 43.544395, -96.780138 43.544205)"
,34,11,14,1,4,1,4876.508287,60,1,0.15,4,9587.549,9606.8992,9606.8992,,,,"LINESTRING (-96.747096 43.544203, -96.751290 43.529378)"
,35,12,3,1,4,1,23403.47319,60,1,0.15,4,10279.792,11159.8414,11159.8414,,,,"LINESTRING (-96.779877 43.543888, -96.774044 43.572909)"
,36,12,11,1,6,1,4908.82673,60,1,0.15,4,8460.422,8408.1274,8408.1274,,,,"LINESTRING (-96.780135 43.543676, -96.746839 43.543866)"
,37,12,13,1,3,1,25900.20064,60,1,0.15,4,13227.405,13592.5634,13592.5634,,,,"LINESTRING (-96.780394 43.544005, -96.793634 43.490771)"
,38,13,12,1,3,1,25900.20064,60,1,0.15,4,13316.306,13753.5981,13753.5981,,,,"LINESTRING (-96.793120 43.490643, -96.779880 43.543877)"
,39,13,24,1,4,1,5091.256152,60,1,0.15,4,10975.704,11014.0475,11014.0475,,,,"LINESTRING (-96.793305 43.490452, -96.749128 43.502909)"
,40,14,11,1,4,1,4876.508287,60,1,0.15,4,9661.071,10086.7881,10086.7881,,,,"LINESTRING (-96.750781 43.529234, -96.746586 43.544059)"
,41,14,15,1,5,1,5127.526119,60,1,0.15,4,8967.315,8964.5461,8964.5461,,,,"LINESTRING (-96.751034 43.529041, -96.731502 43.529136)"
,42,14,23,1,4,1,4924.790605,60,1,0.15,4,8224.451,8491.9588,8491.9588,,,,"LINESTRING (-96.751300 43.529304, -96.751169 43.514856)"
,43,15,10,1,6,1,13512.00155,60,1,0.15,4,22484.834,23094.9474,23094.9474,,,,"LINESTRING (-96.731239 43.529400, -96.731173 43.545270)"
,44,15,14,1,5,1,5127.526119,60,1,0.15,4,9041.501,9621.3727,9621.3727,,,,"LINESTRING (-96.731505 43.529666, -96.751037 43.529571)"
,45,15,19,1,3,1,14564.75315,60,1,0.15,4,17955.973,18529.3079,18529.3079,,,,"LINESTRING (-96.731501 43.529136, -96.711314 43.529326)"
,46,15,22,1,3,1,9599.180565,60,1,0.15,4,18078.322,18003.2256,18003.2256,,,,"LINESTRING (-96.731768 43.529396, -96.731506 43.514853)"
,47,16,8,1,5,1,5045.822583,60,1,0.15,4,8596.646,7761.1456,7761.1456,,,,"LINESTRING (-96.711117 43.546744, -96.711117 43.562324)"
,48,16,10,1,4,1,4854.917717,60,1,0.15,4,11376.53,11254.351,11254.351,,,,"LINESTRING (-96.711401 43.547008, -96.731457 43.545535)"
,49,16,17,1,2,1,5229.910063,60,1,0.15,4,10895.549,11245.8248,11245.8248,,,,"LINESTRING (-96.711647 43.546744, -96.711647 43.541280)"
,50,16,18,1,3,1,19679.89671,60,1,0.15,4,16700.59,16717.8061,16717.8061,,,,"LINESTRING (-96.711382 43.546479, -96.694078 43.546479)"
,51,17,10,1,8,1,4993.510694,60,1,0.15,4,8099.999,8203.6058,8203.6058,,,,"LINESTRING (-96.711330 43.541540, -96.731386 43.545531)"
,52,17,16,1,2,1,5229.910063,60,1,0.15,4,10905.318,11223.7758,11223.7758,,,,"LINESTRING (-96.711117 43.541280, -96.711117 43.546744)"
,53,17,19,1,2,1,4823.950831,60,1,0.15,4,9948.753,10001.9498,10001.9498,,,,"LINESTRING (-96.711647 43.541279, -96.711581 43.529590)"
,54,18,7,1,2,1,23403.47319,60,1,0.15,4,15708.296,16065.5093,16065.5093,,,,"LINESTRING (-96.693814 43.546733, -96.693158 43.563833)"
,55,18,16,1,3,1,19679.89671,60,1,0.15,4,16727.611,16180.6201,16180.6201,,,,"LINESTRING (-96.694078 43.547008, -96.711382 43.547008)"
,56,18,20,1,4,1,23403.47319,60,1,0.15,4,20692.295,19622.5041,19622.5041,,,,"LINESTRING (-96.694311 43.546870, -96.711418 43.515460)"
,57,19,15,1,3,1,14564.75315,60,1,0.15,4,17964.596,18814.5197,18814.5197,,,,"LINESTRING (-96.711319 43.529856, -96.731506 43.529666)"
,58,19,17,1,2,1,4823.950831,60,1,0.15,4,9958.525,9732.7771,9732.7771,,,,"LINESTRING (-96.711051 43.529593, -96.711117 43.541282)"
,59,19,20,1,4,1,5002.607563,60,1,0.15,4,7899.545,8813.2143,8813.2143,,,,"LINESTRING (-96.711581 43.529589, -96.711450 43.515331)"
,60,20,18,1,4,1,23403.47319,60,1,0.15,4,20707.057,19550.1407,19550.1407,,,,"LINESTRING (-96.710953 43.515207, -96.693846 43.546617)"
,61,20,19,1,4,1,5002.607563,60,1,0.15,4,7917.937,8829.2535,8829.2535,,,,"LINESTRING (-96.710920 43.515336, -96.711051 43.529594)"
,62,20,21,1,6,1,5059.91234,60,1,0.15,4,6445.915,6738.106,6738.106,,,,"LINESTRING (-96.711248 43.515591, -96.731042 43.510742)"
,63,20,22,1,5,1,5075.697193,60,1,0.15,4,7000,7274.1223,7274.1223,,,,"LINESTRING (-96.711191 43.515598, -96.731248 43.515123)"
,64,21,20,1,6,1,5059.91234,60,1,0.15,4,6379.069,6571.104,6571.104,,,,"LINESTRING (-96.730916 43.510228, -96.711122 43.515076)"
,65,21,22,1,2,1,5229.910063,60,1,0.15,4,8315.617,8944.0475,8944.0475,,,,"LINESTRING (-96.730715 43.510501, -96.730977 43.514874)"
,66,21,24,1,3,1,4885.357564,60,1,0.15,4,10299.105,10034.0236,10034.0236,,,,"LINESTRING (-96.731078 43.510731, -96.749299 43.503410)"
,67,22,15,1,3,1,9599.180565,60,1,0.15,4,18056.934,18175.4527,18175.4527,,,,"LINESTRING (-96.730977 43.514863, -96.731239 43.529406)"
,68,22,20,1,5,1,5075.697193,60,1,0.15,4,7000,7284.8001,7284.8001,,,,"LINESTRING (-96.731235 43.514593, -96.711179 43.515069)"
,69,22,21,1,2,1,5229.910063,60,1,0.15,4,8299.461,8880.4205,8880.4205,,,,"LINESTRING (-96.731506 43.514842, -96.731244 43.510469)"
,70,22,23,1,4,1,5000,60,1,0.15,4,9604.388,9447.4859,9447.4859,,,,"LINESTRING (-96.731241 43.515123, -96.750904 43.515123)"
,71,23,14,1,4,1,4924.790605,60,1,0.15,4,8223.786,8315.0213,8315.0213,,,,"LINESTRING (-96.750640 43.514861, -96.750771 43.529309)"
,72,23,22,1,4,1,5000,60,1,0.15,4,9566.843,9566.7637,9566.7637,,,,"LINESTRING (-96.750904 43.514593, -96.731241 43.514593)"
,73,23,24,1,2,1,5078.508436,60,1,0.15,4,7742.693,8086.6338,8086.6338,,,,"LINESTRING (-96.751166 43.514820, -96.749462 43.503126)"
,74,24,13,1,4,1,5091.256152,60,1,0.15,4,10964.604,11075.0822,11075.0822,,,,"LINESTRING (-96.749272 43.503419, -96.793448 43.490962)"
,75,24,21,1,3,1,4885.357564,60,1,0.15,4,10248.417,9930.6485,9930.6485,,,,"LINESTRING (-96.749102 43.502919, -96.730880 43.510239)"
,76,24,23,1,2,1,5078.508436,60,1,0.15,4,7704.481,8028.9741,8028.9741,,,,"LINESTRING (-96.748938 43.503202, -96.750642 43.514896)"
