o_zone_id,d_zone_id,mode_id,cost
38,1,1,2.568156605014656
38,2,1,3.392361012677779
38,3,1,3.41161694368055
38,4,1,1.134782975307979
38,5,1,1.1852223169014273
38,6,1,2.0540472064635193
38,7,1,2.121747900536866
38,10,1,2.9640335767080206
38,11,1,2.9679992565719044
38,12,1,1.5451342098535514
38,13,1,1.660464839179859
38,14,1,2.918178891324572
38,15,1,2.956235849456477
38,16,1,3.449739423681226
38,17,1,3.609540655863363
38,18,1,1.9980216345897788
38,19,1,2.0573231213682983
38,22,1,1.9814103233202078
38,28,1,1.8164125106631999
38,29,1,1.9909456298300632
38,30,1,0.4600949195677376
38,31,1,0.5927318918669411
38,32,1,1.530385094366546
38,33,1,1.6359477877688102
38,34,1,1.4857195327077293
38,35,1,0.33171633313745297
38,36,1,2.075900535035214
38,37,1,2.1167941664730594
38,39,1,0.022330281357575157
38,41,1,1.9778199212987047
38,50,1,1.2261886602471466
38,51,1,0.6323613748493171
38,52,1,0.84428498583714
38,54,1,1.0229601761658285
38,55,1,2.7918043457033854
38,56,1,2.757909633041673
38,57,1,2.7561025149062885
38,58,1,2.790835175500072
38,59,1,2.8147476225280466
38,60,1,2.785022832285729
38,61,1,2.7668702395636013
38,62,1,2.800643102973446
38,63,1,2.8152012766657672
38,66,1,2.841286389584728
38,67,1,2.9236377378082232
38,68,1,2.990009427001131
38,70,1,2.865333004690033
38,71,1,2.641406751425607
38,72,1,2.698619661686956
38,73,1,2.712949133706542
38,78,1,2.7829521984056464
38,79,1,2.7679125193180347
38,80,1,2.3040941901205283
38,81,1,2.2286494181731995
38,82,1,2.3567866270378803
38,83,1,2.3356732313956563
38,86,1,1.8489430473051065
38,87,1,1.8580611205525246
38,88,1,1.9566959029011894
38,89,1,1.9684684152354384
38,90,1,1.8775521804413169
38,91,1,1.9508224118937845
38,93,1,2.1140124815474493
38,94,1,2.590988030474782
38,95,1,3.078365042169017
38,96,1,1.0879393024802537
38,97,1,1.1067107822816453
38,98,1,1.1340157267220459
38,99,1,1.1246989454638903
38,100,1,1.180683990187193
38,102,1,2.762821720061818
38,103,1,2.360782211296911
38,105,1,2.8358469140077833
38,106,1,3.5115697510869586
38,107,1,3.9427848804256937
38,111,1,1.8357565480480909
38,112,1,1.8671092978554653
38,113,1,2.082108955268265
38,114,1,2.4504696878844747
38,115,1,1.9448015413150734
38,116,1,1.9791942737395456
38,117,1,1.917767253967465
38,121,1,2.936471543736208
38,122,1,2.972548295308281
38,130,1,1.9256719229067285
38,131,1,2.8630113524244187
38,144,1,2.7619287837494166
38,146,1,2.750688658915634
38,147,1,2.885742620477516
38,148,1,2.9998425277265395
38,150,1,3.223692457833203
38,151,1,4.090124995783543
38,152,1,3.01819275725719
38,154,1,2.825132927994884
38,155,1,2.9064757393336933
38,156,1,3.132253030024287
38,157,1,3.2975622947250782
38,158,1,3.1504433826244655
38,159,1,1.7422887988465547
38,160,1,1.8093058873735286
38,161,1,3.6890426061970403
38,162,1,1.903801455099606
38,163,1,2.0088005176034898
38,164,1,1.9990050874892815
38,165,1,2.027584762564601
38,166,1,2.1560219080492624
38,167,1,2.0650232799514976
38,169,1,1.9736023303807773
38,170,1,2.059659234863804
38,171,1,2.078555241922598
38,173,1,0.9084433034549212
38,174,1,1.457010331431341
38,175,1,1.4002901741885316
38,176,1,1.352868052165129
38,177,1,1.2755563532921215
38,178,1,1.1564202780998067
38,180,1,2.712323016012332
38,181,1,3.0842323737636903
38,182,1,2.9939300271051668
38,183,1,2.9799529806140588
38,184,1,1.6755716469395618
38,186,1,1.1518915922055004
38,187,1,1.4673849248760362
38,188,1,0.8774810068546289
38,189,1,0.6676224952021148
38,190,1,0.7079168376921151
38,191,1,2.1981567544769907
38,192,1,2.2678734511174947
38,193,1,3.526711729986029
38,194,1,3.101607273678297
38,195,1,2.403147187666994
38,196,1,3.0230467315572143
38,198,1,3.4139735885518285
38,199,1,1.2498416620988373
38,200,1,1.279841322829323
38,201,1,3.125003936840125
38,203,1,3.0816089102742206
38,204,1,2.6963420179789765
38,207,1,2.437441190954056
38,208,1,2.275808917120417
38,209,1,1.4753261039574344
38,210,1,1.9944388202506265
38,211,1,2.089424730790262
38,215,1,3.6563026495222544
38,216,1,3.188181836631343
38,217,1,1.463983857845896
85,20,1,0.739643704872805
85,21,1,0.8243308095244013
85,23,1,0.9710698019063715
85,24,1,1.0412882972730022
85,42,1,0.8539695465221767
85,45,1,1.2471114711620914
85,46,1,1.268790223528486
85,84,1,0.05623811624641157
85,119,1,0.24959725726074042
85,120,1,0.2631610577420972
85,124,1,0.09268874714686351
85,125,1,0.2099722971321577
85,126,1,0.4090635602172319
85,127,1,0.49372900277960735
85,132,1,0.34601854901181023
85,133,1,0.22382770266071805
85,134,1,0.3277307467657549
85,136,1,0.8169357055273175
85,137,1,0.5452681119796521
85,138,1,0.5164158754520486
103,1,1,1.3367369072880813
103,2,1,2.160941314951205
103,3,1,2.180197245953976
103,4,1,1.841119343399868
103,5,1,1.8915586849933164
103,6,1,0.7679780746410687
103,7,1,0.8356787687144156
103,10,1,1.7326138789814467
103,11,1,1.7365795588453299
103,12,1,2.4102447950046963
103,13,1,2.525575424331004
103,14,1,1.686759193597997
103,15,1,1.724816151729902
103,16,1,2.2183197259546508
103,17,1,2.3781209581367877
103,18,1,0.711952502767328
103,19,1,0.8259034236417238
103,22,1,2.6877466914120967
103,28,1,2.1784828760769726
103,29,1,2.353015995243836
103,32,1,2.0431579003548928
103,33,1,1.998018153182583
103,34,1,1.9984923386960762
103,36,1,2.4379709004489865
103,37,1,2.4788645318868316
103,41,1,2.8429305064498496
103,50,1,1.7389614662354935
103,54,1,1.7292965442577175
103,55,1,1.5603846479768109
103,56,1,1.5264899353150987
103,57,1,1.524682817179714
103,58,1,1.5594154777734979
103,59,1,1.583327924801472
103,60,1,1.5536031345591546
103,61,1,1.535450541837027
103,62,1,1.5692234052468719
103,63,1,1.5837815789391934
103,66,1,1.609866691858154
103,67,1,1.692218040081649
103,68,1,1.758589729274557
103,70,1,1.6339133069634586
103,71,1,1.4099870536990324
103,72,1,1.4671999639603819
103,73,1,1.4815294359799676
103,78,1,1.5515325006790721
103,79,1,1.5364928215914604
103,80,1,0.056688021176382865
103,81,1,0.1321327931237118
103,82,1,0.003995584259030765
103,83,1,0.025108979901254998
103,86,1,0.5628739154826559
103,87,1,0.5719919887300741
103,88,1,0.6706267710787387
103,89,1,0.6823992834129875
103,90,1,0.8039713617072838
