agent_id,o_node_id,d_node_id,link_sequence,departure_time
13_0,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,420.0
13_1,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,420.6
13_2,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,421.2
13_3,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,421.8
13_4,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,422.4
13_5,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,423.0
13_6,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,423.6
13_7,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,424.2
13_8,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,424.8
13_9,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,425.4
13_10,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,426.0
13_11,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,426.6
13_12,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,427.2
13_13,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,427.8
13_14,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,428.4
13_15,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,429.0
13_16,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,429.6
13_17,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,430.2
13_18,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,430.8
13_19,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,431.4
13_20,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,432.0
13_21,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,432.6
13_22,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,433.2
13_23,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,433.8
13_24,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,434.4
13_25,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,435.0
13_26,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,435.6
13_27,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,436.2
13_28,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,436.8
13_29,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,437.4
13_30,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,438.0
13_31,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,438.6
13_32,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,439.2
13_33,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,439.8
13_34,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,440.4
13_35,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,441.0
13_36,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,441.6
13_37,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,442.2
13_38,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,442.8
13_39,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,443.4
13_40,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,444.0
13_41,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,444.6
13_42,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,445.2
13_43,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,445.8
13_44,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,446.4
13_45,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,447.0
13_46,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,447.6
13_47,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,448.2
13_48,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,448.8
13_49,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,449.4
13_50,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,450.0
13_51,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,450.6
13_52,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,451.2
13_53,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,451.8
13_54,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,452.4
13_55,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,453.0
13_56,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,453.6
13_57,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,454.2
13_58,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,454.8
13_59,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,455.4
13_60,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,456.0
13_61,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,456.6
13_62,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,457.2
13_63,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,457.8
13_64,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,458.4
13_65,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,459.0
13_66,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,459.6
13_67,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,460.2
13_68,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,460.8
13_69,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,461.4
13_70,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,462.0
13_71,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,462.6
13_72,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,463.2
13_73,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,463.8
13_74,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,464.4
13_75,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,465.0
13_76,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,465.6
13_77,85,46,107;106;149;150;159;142;144;160;158;151;152;164;163;29;162;55;32;33;58,466.2
